mean,std,var,skew,kurtosis,rms,zcr,energy_mean,energy_std,amplitude_range,spec_centroid_mean,spec_centroid_std,spec_bandwidth_mean,spec_bandwidth_std,spec_contrast_mean,spec_contrast_std,spec_rolloff_mean,spec_rolloff_std,spec_flatness_mean,spec_flatness_std,chroma_mean,chroma_std,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,duration,tempo,onset_rate,autocorr_lag,envelope_mean,envelope_std,label
-0.0035258203,0.09512116,0.009048035,-0.5845170974353471,11.581784863132878,0.09518649,0.026865857712765957,0.009060468,0.029756231,1.7835388,585.4611437658884,450.6199047339337,882.6048568669854,622.4505736269714,18.214947472956226,4.886052570326401,1212.3503989361702,1071.7353503803201,0.2888259,0.4514737,0.34261593,0.3506549,-364.0069,95.24838,2.332185,19.98058,1.4093543,137.53633,66.50896,17.413177,19.326202,6.527869,3.0,93.75,1.0846211,1,1.0846211,1.9500886,Buka
-0.0023714397,0.08524599,0.007266878,0.5045478444765736,16.24552940996969,0.085278966,0.032262923869680854,0.0072725024,0.028609758,1.7325745,652.9305506893768,381.8696379604815,954.6665843897756,451.53033917203504,17.182958101049373,5.468364780651984,1232.9621010638298,812.8874660829758,0.16124845,0.36548996,0.36003882,0.32027718,-320.09268,119.46607,-5.0382586,38.037724,12.090924,145.47247,55.27326,27.873001,25.708742,11.581383,3.0,85.22727272727273,1.3105782,1,1.3105782,2.0522935,Buka
-0.0025595175,0.074256115,0.0055139707,-0.9170530880127663,23.301785728196645,0.074300215,0.022029795545212765,0.0055205217,0.026558625,1.9635925,592.0778708099524,501.62987075394346,894.2434704333599,716.3970151942937,16.50867575624414,5.2816615265916935,1256.8982712765958,1141.9010506854434,0.3750194,0.48144597,0.30450022,0.33284506,-387.17523,78.77501,3.915817,15.833332,3.217253,148.45479,63.435566,12.492311,19.675259,9.120406,3.0,104.16666666666667,0.93105817,1,0.93105817,1.8939184,Buka
-0.0027961775,0.09696726,0.009402649,0.18015043471285677,18.81662978242269,0.097007565,0.028590425531914893,0.009410467,0.039905343,1.8101501,554.6597401891781,525.0851915617285,744.7101268252145,663.4483204399017,18.12923424983874,5.284086413700974,1133.9760638297873,1178.1409153683437,0.4272694,0.49293527,0.2420039,0.3203832,-395.70837,75.06665,-1.8418974,16.414953,-2.8008833,165.0305,67.52762,16.683592,25.228271,11.066673,3.0,117.1875,0.97222155,1,0.97222155,2.1818523,Buka
-0.0021701024,0.09954193,0.009908597,-0.008726878672452979,22.079564685403927,0.09956559,0.018159906914893616,0.009913306,0.045737717,1.9329834,450.0028837643872,501.5235903412668,678.7418377642472,714.5157917517037,16.287348880665583,5.281832847253024,889.2121010638298,1060.1341597977687,0.5122301,0.49826893,0.19958748,0.29382205,-377.22556,62.731125,5.6789336,11.147569,1.7791413,147.50226,66.43587,14.066451,18.288925,13.900334,3.0,234.375,0.8261232,1,0.8261232,2.0007133,Buka
-0.0042978562,0.05339651,0.0028511875,-0.0007047625164287708,18.439806070445872,0.053569198,0.03639253656914894,0.002869659,0.012665908,1.7272644,569.2652860428725,617.6210559820712,689.2340462672644,672.8748535268163,16.37760343144143,5.535341905475729,1111.8683510638298,1189.5973813898192,0.48166502,0.49676776,0.27229515,0.32989386,-410.3427,64.94078,-13.170321,9.929464,-0.14780657,215.06104,64.12158,23.739647,15.099538,9.180817,3.0,98.6842105263158,0.9466378,1,0.9466378,2.0102277,Buka
-0.002888965,0.10223442,0.010451877,-0.44737286628483935,14.22750943830176,0.10227523,0.028008643617021278,0.010460223,0.038276654,1.8831482,531.0913678068443,468.6048676146619,736.6961314500758,582.4242732708857,17.316742688661016,5.211640607324714,1057.0146276595744,1014.326239570572,0.35206726,0.4765674,0.32122093,0.35139152,-364.62076,90.43021,-3.7219787,21.82857,2.5786679,148.1592,71.66236,20.72472,21.347277,19.975079,3.0,125.0,1.1446202,1,1.1446202,2.5744698,Buka
-0.004824616,0.11044167,0.012197363,-0.8110415992728595,14.425374759490667,0.110547006,0.026959358377659573,0.012220641,0.045100227,1.9387512,459.6688771590309,492.1957047946652,629.1410816412899,619.2045839678846,16.76034531852968,5.2754439795247645,804.3550531914893,957.6770406457064,0.45942658,0.49639192,0.21820539,0.323189,-381.0743,76.698074,-0.49191365,15.341858,0.86561537,178.94955,73.177376,18.356033,21.064772,14.014895,3.0,85.22727272727273,1.0572084,1,1.0572084,2.33973,Buka
-0.0016052952,0.10719942,0.011491717,-0.4825766627090879,9.759913138330807,0.10721145,0.02745283410904255,0.011494295,0.034212995,1.6702576,421.73509814196956,475.45634804214336,561.7951035059039,574.9301508146151,17.017120053205467,5.66259886608615,718.5837765957447,885.5707202390143,0.4906984,0.49858487,0.19099392,0.29891604,-378.82788,77.89471,1.5789288,9.777938,-7.557256,180.90149,78.355095,16.098806,20.59387,17.758738,3.0,104.16666666666667,0.8623204,1,0.8623204,1.9715443,Buka
-0.002625018,0.12106244,0.014656115,-0.3747575069808027,11.54900875940874,0.1210909,0.029270902593085107,0.014663004,0.04780046,1.8240967,581.3575040166772,445.2678378581388,846.7478823425382,607.8091576790922,17.438714229948726,6.248798014242533,1080.6183510638298,928.593981844251,0.30995235,0.4609204,0.3261367,0.3416303,-329.0353,97.08812,-0.36996078,16.321241,-4.5569444,158.4979,68.850395,15.395517,20.761034,16.091217,3.0,133.92857142857142,0.97537297,1,0.97537297,1.8746327,Buka
