NO2_t-1,NO2_t+1,NO2_t+2,NO2_t+3
3.159812558806152e-05,2.605553466613249e-05,2.4992714054061445e-05,2.39298934419904e-05
3.1719428989163134e-05,2.4992714054061445e-05,2.39298934419904e-05,2.4229397509274847e-05
2.605553466613249e-05,2.39298934419904e-05,2.4229397509274847e-05,2.452890157655929e-05
2.4992714054061445e-05,2.4229397509274847e-05,2.452890157655929e-05,3.8706730265403166e-05
2.39298934419904e-05,2.452890157655929e-05,3.8706730265403166e-05,3.335617875563912e-05
2.4229397509274847e-05,3.8706730265403166e-05,3.335617875563912e-05,3.33734210471448e-05
2.452890157655929e-05,3.335617875563912e-05,3.33734210471448e-05,2.971783154256021e-05
3.8706730265403166e-05,3.33734210471448e-05,2.971783154256021e-05,1.948420761740029e-05
3.335617875563912e-05,2.971783154256021e-05,1.948420761740029e-05,2.071595486086153e-05
3.33734210471448e-05,1.948420761740029e-05,2.071595486086153e-05,2.2021829964715936e-05
2.971783154256021e-05,2.071595486086153e-05,2.2021829964715936e-05,2.372257768001873e-05
1.948420761740029e-05,2.2021829964715936e-05,2.372257768001873e-05,2.775549516324342e-05
2.071595486086153e-05,2.372257768001873e-05,2.775549516324342e-05,2.761257054670649e-05
2.2021829964715936e-05,2.775549516324342e-05,2.761257054670649e-05,2.247481370432069e-05
2.372257768001873e-05,2.761257054670649e-05,2.247481370432069e-05,1.7448039216105826e-05
2.775549516324342e-05,2.247481370432069e-05,1.7448039216105826e-05,2.4462430701532867e-05
2.761257054670649e-05,1.7448039216105826e-05,2.4462430701532867e-05,2.7501588192535564e-05
2.247481370432069e-05,2.4462430701532867e-05,2.7501588192535564e-05,2.7834535255048348e-05
1.7448039216105826e-05,2.7501588192535564e-05,2.7834535255048348e-05,2.772355290087742e-05
2.4462430701532867e-05,2.7834535255048348e-05,2.772355290087742e-05,2.059284088318236e-05
2.7501588192535564e-05,2.772355290087742e-05,2.059284088318236e-05,2.488823990158077e-05
2.7834535255048348e-05,2.059284088318236e-05,2.488823990158077e-05,1.5799398689027426e-05
2.772355290087742e-05,2.488823990158077e-05,1.5799398689027426e-05,1.2122348574518003e-05
2.059284088318236e-05,1.5799398689027426e-05,1.2122348574518003e-05,1.5799398689027426e-05
2.488823990158077e-05,1.2122348574518003e-05,1.5799398689027426e-05,1.947644880353685e-05
1.5799398689027426e-05,1.5799398689027426e-05,1.947644880353685e-05,2.315349891804627e-05
1.2122348574518003e-05,1.947644880353685e-05,2.315349891804627e-05,2.5569727101397305e-05
1.5799398689027426e-05,2.315349891804627e-05,2.5569727101397305e-05,2.7985955284748343e-05
1.947644880353685e-05,2.5569727101397305e-05,2.7985955284748343e-05,2.371919222034856e-05
2.315349891804627e-05,2.7985955284748343e-05,2.371919222034856e-05,2.1280413837606225e-05
