NO2_t-1,NO2_t+1,NO2_t+2,NO2_t+3
2.0528679423629605e-05,1.87693337257618e-05,2.5037093413023587e-05,2.7872183515379827e-05
2.0947772213730783e-05,2.5037093413023587e-05,2.7872183515379827e-05,1.796566637797999e-05
1.87693337257618e-05,2.7872183515379827e-05,1.796566637797999e-05,2.762248186627403e-05
2.5037093413023587e-05,1.796566637797999e-05,2.762248186627403e-05,2.26452051454847e-05
2.7872183515379827e-05,2.762248186627403e-05,2.26452051454847e-05,1.766792842469537e-05
1.796566637797999e-05,2.26452051454847e-05,1.766792842469537e-05,1.4011316125106532e-05
2.762248186627403e-05,1.766792842469537e-05,1.4011316125106532e-05,2.238818827512053e-05
2.26452051454847e-05,1.4011316125106532e-05,2.238818827512053e-05,1.737019047141075e-05
1.766792842469537e-05,2.238818827512053e-05,1.737019047141075e-05,2.527818482381657e-05
1.4011316125106532e-05,1.737019047141075e-05,2.527818482381657e-05,2.062485979574073e-05
2.238818827512053e-05,2.527818482381657e-05,2.062485979574073e-05,2.2534400463515303e-05
1.737019047141075e-05,2.062485979574073e-05,2.2534400463515303e-05,2.467279758453937e-05
2.527818482381657e-05,2.2534400463515303e-05,2.467279758453937e-05,1.7505714519453857e-05
2.062485979574073e-05,2.467279758453937e-05,1.7505714519453857e-05,2.039600334249124e-05
2.2534400463515303e-05,1.7505714519453857e-05,2.039600334249124e-05,2.137154231718341e-05
2.467279758453937e-05,2.039600334249124e-05,2.137154231718341e-05,2.681119470556344e-05
1.7505714519453857e-05,2.137154231718341e-05,2.681119470556344e-05,2.4303647395837203e-05
2.039600334249124e-05,2.681119470556344e-05,2.4303647395837203e-05,2.261690307284769e-05
2.137154231718341e-05,2.4303647395837203e-05,2.261690307284769e-05,2.093015874985819e-05
2.681119470556344e-05,2.261690307284769e-05,2.093015874985819e-05,2.760098019886452e-05
2.4303647395837203e-05,2.093015874985819e-05,2.760098019886452e-05,2.525458489799348e-05
2.261690307284769e-05,2.760098019886452e-05,2.525458489799348e-05,2.64318272952964e-05
2.093015874985819e-05,2.525458489799348e-05,2.64318272952964e-05,2.309237182392584e-05
2.760098019886452e-05,2.64318272952964e-05,2.309237182392584e-05,2.217546749637801e-05
2.525458489799348e-05,2.309237182392584e-05,2.217546749637801e-05,2.337561752276749e-05
2.64318272952964e-05,2.217546749637801e-05,2.337561752276749e-05,2.12911694110186e-05
2.309237182392584e-05,2.337561752276749e-05,2.12911694110186e-05,2.747080179688055e-05
2.217546749637801e-05,2.12911694110186e-05,2.747080179688055e-05,2.361487690905051e-05
2.337561752276749e-05,2.747080179688055e-05,2.361487690905051e-05,2.046108131087914e-05
2.12911694110186e-05,2.361487690905051e-05,2.046108131087914e-05,2.48795699008042e-05
2.747080179688055e-05,2.046108131087914e-05,2.48795699008042e-05,2.246407264768398e-05
2.361487690905051e-05,2.48795699008042e-05,2.246407264768398e-05,1.92067212992697e-05
2.046108131087914e-05,2.246407264768398e-05,1.92067212992697e-05,2.1698474029108183e-05
2.48795699008042e-05,1.92067212992697e-05,2.1698474029108183e-05,2.770145298806408e-05
2.246407264768398e-05,2.1698474029108183e-05,2.770145298806408e-05,2.448295056941182e-05
1.92067212992697e-05,2.770145298806408e-05,2.448295056941182e-05,1.980681372515392e-05
2.1698474029108183e-05,2.448295056941182e-05,1.980681372515392e-05,2.1264448150759563e-05
2.770145298806408e-05,1.980681372515392e-05,2.1264448150759563e-05,2.7264165510132443e-05
2.448295056941182e-05,2.1264448150759563e-05,2.7264165510132443e-05,2.1986673800711287e-05
1.980681372515392e-05,2.7264165510132443e-05,2.1986673800711287e-05,2.141027425750508e-05
2.1264448150759563e-05,2.1986673800711287e-05,2.141027425750508e-05,1.9369115337516024e-05
2.7264165510132443e-05,2.141027425750508e-05,1.9369115337516024e-05,2.7242025983772084e-05
2.1986673800711287e-05,1.9369115337516024e-05,2.7242025983772084e-05,1.2774423036413888e-05
2.141027425750508e-05,2.7242025983772084e-05,1.2774423036413888e-05,2.7733458561366813e-05
1.9369115337516024e-05,1.2774423036413888e-05,2.7733458561366813e-05,2.362643651091881e-05
2.7242025983772084e-05,2.7733458561366813e-05,2.362643651091881e-05,2.0782467791897424e-05
1.2774423036413888e-05,2.362643651091881e-05,2.0782467791897424e-05,1.9750045924281168e-05
2.7733458561366813e-05,2.0782467791897424e-05,1.9750045924281168e-05,2.417176635087041e-05
2.362643651091881e-05,1.9750045924281168e-05,2.417176635087041e-05,2.7458739744664247e-05
2.0782467791897424e-05,2.417176635087041e-05,2.7458739744664247e-05,2.379802041711325e-05
1.9750045924281168e-05,2.7458739744664247e-05,2.379802041711325e-05,3.358064623171231e-05
2.417176635087041e-05,2.379802041711325e-05,3.358064623171231e-05,2.907327386007334e-05
2.7458739744664247e-05,3.358064623171231e-05,2.907327386007334e-05,2.584420562925516e-05
2.379802041711325e-05,2.907327386007334e-05,2.584420562925516e-05,2.6145682568312623e-05
3.358064623171231e-05,2.584420562925516e-05,2.6145682568312623e-05,2.793553070053652e-05
2.907327386007334e-05,2.6145682568312623e-05,2.793553070053652e-05,2.5866775558824884e-05
2.584420562925516e-05,2.793553070053652e-05,2.5866775558824884e-05,3.472884645816521e-05
2.6145682568312623e-05,2.5866775558824884e-05,3.472884645816521e-05,2.743404305268389e-05
2.793553070053652e-05,3.472884645816521e-05,2.743404305268389e-05,3.266737879433398e-05
2.5866775558824884e-05,2.743404305268389e-05,3.266737879433398e-05,2.624068573216694e-05
3.472884645816521e-05,3.266737879433398e-05,2.624068573216694e-05,2.6938571863865945e-05
2.743404305268389e-05,2.624068573216694e-05,2.6938571863865945e-05,2.305412723065577e-05
3.266737879433398e-05,2.6938571863865945e-05,2.305412723065577e-05,2.596380763861816e-05
2.624068573216694e-05,2.305412723065577e-05,2.596380763861816e-05,2.5335369021680283e-05
2.6938571863865945e-05,2.596380763861816e-05,2.5335369021680283e-05,1.7821736112940318e-05
2.305412723065577e-05,2.5335369021680283e-05,1.7821736112940318e-05,1.5838203429060133e-05
2.596380763861816e-05,1.7821736112940318e-05,1.5838203429060133e-05,1.839045792924784e-05
2.5335369021680283e-05,1.5838203429060133e-05,1.839045792924784e-05,1.9805268796820503e-05
1.7821736112940318e-05,1.839045792924784e-05,1.9805268796820503e-05,3.0971487123881365e-05
1.5838203429060133e-05,1.9805268796820503e-05,3.0971487123881365e-05,2.896046817113529e-05
1.839045792924784e-05,3.0971487123881365e-05,2.896046817113529e-05,3.627296321913794e-05
1.9805268796820503e-05,2.896046817113529e-05,3.627296321913794e-05,2.3404845276470747e-05
3.0971487123881365e-05,3.627296321913794e-05,2.3404845276470747e-05,1.1302215170871932e-05
2.896046817113529e-05,2.3404845276470747e-05,1.1302215170871932e-05,2.0336510184885505e-05
3.627296321913794e-05,1.1302215170871932e-05,2.0336510184885505e-05,2.233778119868172e-05
2.3404845276470747e-05,2.0336510184885505e-05,2.233778119868172e-05,2.0989368306345568e-05
1.1302215170871932e-05,2.233778119868172e-05,2.0989368306345568e-05,2.113305292823497e-05
2.0336510184885505e-05,2.0989368306345568e-05,2.113305292823497e-05,2.0918708590519e-05
2.233778119868172e-05,2.113305292823497e-05,2.0918708590519e-05,1.833523917108929e-05
2.0989368306345568e-05,2.0918708590519e-05,1.833523917108929e-05,3.053520201016605e-05
2.113305292823497e-05,1.833523917108929e-05,3.053520201016605e-05,2.931272365458426e-05
2.0918708590519e-05,3.053520201016605e-05,2.931272365458426e-05,3.115464551228797e-05
1.833523917108929e-05,2.931272365458426e-05,3.115464551228797e-05,2.346020152171625e-05
3.053520201016605e-05,3.115464551228797e-05,2.346020152171625e-05,2.3336267856523465e-05
2.931272365458426e-05,2.346020152171625e-05,2.3336267856523465e-05,2.113082841571581e-05
3.115464551228797e-05,2.3336267856523465e-05,2.113082841571581e-05,2.6892294348120533e-05
2.346020152171625e-05,2.113082841571581e-05,2.6892294348120533e-05,2.223354813611964e-05
2.3336267856523465e-05,2.6892294348120533e-05,2.223354813611964e-05,2.0028108695311983e-05
